Month_Year,URL,Title,Title,Date,Description,
February 2020,https://little-berlin.squarespace.com/calendar/2020/2/8/nurture,Nurture,NURTURE,"

          Saturday, February 8, 2020


            6:00 PM
            18:00




          Sunday, March 1, 2020


            7:00 PM
            19:00


        ","Nurture is an exhibition featuring work that considers the self as it comes up against the social and environmental factors that it has been nurtured into and those that it continues to nurture in turn. The works in this exhibition are illustrative in nature and frequently surreal - mirroring the absurdity of being a person in the world.


Participating artists -
Eliseo Casiano
Jason Herr
Adrienne Justice
Jini Kim


Curated by Henry Gepfer ",
December 2019,https://little-berlin.squarespace.com/calendar/2019/12/20/vendorless-vending-zine-party,Vendorless Vending Zine Party,VENDORLESS VENDING ZINE PARTY,"Friday, December 20, 2019","DECEMBER 20TH 6PM - 10PM

Join us for a celebration!

We will have …

Zines for sale!

Zines to read!

Zines to make!

There will also be a bonfire, refreshments and 100% a good time.

Hosted by Nicole Rodriguez and Angela Heaps.


",
November 2019,https://little-berlin.squarespace.com/calendar/2019/11/9/tether,TETHER,TETHER,"Saturday, November 9, 2019","Tether

tie (an animal) with a rope or chain so as to restrict its movement.

use (a smartphone) in order to connect a computer or other device to the Internet

The onset of the digital horizon has brought us to an overstimulated present full of contradiction. Unanswered sentimentality expressed in a crowd. We clutch to the endless informational expanse seeking some sort of salvation. Unlimited signs can be found in the excess and yet so many searches yield empty returns. In uncertain times, we install systems of faith for intimacy. Reaching out into the noise in an attempt to reconcile with the ultimate loss of ground to stand on.


Participating Artist

Erin Juliana

Matt Lavine

Joe Arnold

Sam Zanowski

Rebecca Naegele

Xingze Li

Maxwell Motmans

Julia Arredondo",
October 2019,https://little-berlin.squarespace.com/calendar/2019/10/12/anything-is-possible-and-allowed-a-night-of-comedy-at-little-berlin,ANYTHING IS POSSIBLE (and allowed) : A Night of Comedy at Little Berlin,ANYTHING IS POSSIBLE (and allowed) : A Night of Comedy at Little Berlin,"Saturday, October 12, 2019","A parfait of great pleasure awaits. Drinks. Drollery. Dancing. Y'alls people like getting tipsy and laughing? Confusion and delight at the same time followed by a dance party with a playlist created the comedians who are on the show. A non-stop barf bag of hyper Saturday night. Charles and Rose host an evening of comedy at Little Berlin beginning with specialty cocktails and ending with a dance party.

Featuring:
Caitlin Feeney
Molly Hanulec
Teddy Hanson
Christian Alsis
Max Barth


",
September 2019,https://little-berlin.squarespace.com/calendar/2019/9/6/195-women-in-power-amp-politics,19.5% : Women in Power & Politics,19.5% : WOMEN IN POWER & POLITICS,"

          Friday, September 6, 2019


            6:00 PM
            18:00




          Monday, September 30, 2019


            12:00 AM
            00:00


        ","Join us for 19.5%, a group exhibition showcasing works by woman about women in power and politics.
Curated by @chelseylusterart ❤️
Friday September 6th - September
6 pm - 9pm

This exhibition features work by Jessica S. Oler, Lucy H. West, Chloe Pinero, Nalise Yuri Murphy, Shelby Fleming, Alezandria Decking, Alfiatul Nurdin, Nikki D'Agostino, Hysterical Men, Chris Friday, Gabe Loredo, Jacqueline White, Autumn Wallace, Kelley Prevard, Francena Ottley and Gerald Brown.",
August 2019,https://little-berlin.squarespace.com/calendar/2019/8/10/enriched-bread-artists,Enriched Bread Artists,ENRICHED BREAD ARTISTS,"

          Saturday, August 10, 2019


            6:00 PM
            18:00




          Sunday, August 25, 2019


            7:00 PM
            19:00


        ","We are happy to announce that artists from Ottawa’s largest artist collective, @enriched_bread, will be showing work at Little Berlin!


All pieces in the show were curated by members of Little Berlin as part of an exhibition exchange project. Come out and see what Ottawa has to offer!",
July 2019,https://little-berlin.squarespace.com/calendar/2019/7/6/anthrocenes-opening-reception,Anthrocenes - Opening Reception,ANTHROCENES - OPENING RECEPTION,"Saturday, July 6, 2019","Opening July 6th form 6-10 PM
On view: July 6-28th

Featured Artists:

Rachel Eng, Christian Filardo, & Saskia Krafft


In 1992, Journalist Andrew C. Revkin, wrote: ""Perhaps earth scientists of the future will name this new post-Holocene period for its causative element—for us. We are entering an age that might someday be referred to as, say, the Anthrocene. After all, it is a geological age of our own making.” The first documented use of this word, Revkin’s article introduced into common vernacular an idea which described a powerful shift in understanding; By altering climate, landscapes, and seascapes as well as flows of species, genes, energy, and materials, we are sealing the fates of myriad other species. And, without a big shift from business-as-usual, we will undermine our own long-term welfare as well. After 27 years of percolation and debate, anthrocene (or the more common anthropocene) has become the closest thing there is to common shorthand for this turbulent, momentous, unpredictable, hopeless, hopeful time—duration and scope still unknown.


This exhibition brings together three artists examining the role of the human in the role of a broad and plastic understanding of a world ecosystem. The works of Rachel Eng, Christian Filardo, and Saskia Krafft all grapple with the tension between the individual and the accumulated. Tasked with reconciling their places in the world, the assembled artists each act as explorers of well-trod landscapes. Their methods act as systems of mapping, orienting both the artist and the viewer in relation to a world changing at a blistering rate. In the process, the collected works give the viewer an opportunity to meditate on the space of the individual as a piece of the the collective and reflect on the anthropocentrism of the world we recommit to on a daily basis.

Gallery Hours Sundays 12-4",
June 2019,https://little-berlin.squarespace.com/calendar/2019/6/28/little-berlin-benefit-show,Little Berlin Benefit Show,LITTLE BERLIN BENEFIT SHOW,"Friday, June 28, 2019","Join us on Friday 6/28 for an amazing night of Philly-based music at Little Berlin. “Doors” are at 6:30 in Little Berlin’s courtyard, music at 7. The proceeds of this show will aid Little Berlin in continuing to offer a diverse scope of exhibitions, programming and community outreach in our main gallery and annex space in the Kensington neighborhood of Philadelphia. Founded in 2007, Little Berlin is an undefined exhibition space which is entirely member-driven. Our aim is to promote artists and ideas beyond the individual practices of our membership.

GODCASTER
SUN GOD
ANIKA PYLE
PETAL

Tickets are $20 and can be purchased via Venmo (@LittleBerlin) or at the door!",
May 2019,https://little-berlin.squarespace.com/calendar/2019/5/31/prom,PROM,PROM,"Friday, May 31, 2019","WE ARE HAPPY TO ANNOUNCE ✨PROM✨

Come to Little Berlin on May 31st to dance the night away ~under the sea~

-Open Bar!- Specialty refreshments will be available from wonderful performance artist bartenders throughout the night

Tickets are $20.00 and can be purchased through Venmo @LittleBerlin

Be there
Or be square! ",
April 2019,https://little-berlin.squarespace.com/calendar/2019/4/6/quaint-opening-reception,Quaint - Opening Reception,QUAINT - OPENING RECEPTION,"Saturday, April 6, 2019","Quaint is a non-exhaustive survey of emerging Lancaster-based visual and literary artists.

Lancaster is a small city. Our population falls just shy of 60,000 and our downtown is comprised of only a handful of city blocks. Most folks from outside of the area are only really familiar with us because of the colorful veneer of “Amish Country”, the outlet mall-based tourism or the amount of best-of lists we’ve been featured on in the past few years (which is confusing even to us).

We’re a city that is often romanticized or written-off all together. But for those of us living in Lancaster, it’s a home like any other where joy and disappointment bump shoulders passing in the hall and causes for both celebration and frustration are exchanged over dinner. Lancaster is a place where serious work is being done, frequently without fanfare or outside acknowledgment.

The goal of this show is to highlight folks living and working in Lancaster who are driving forward important conversations in their work ranging in topic from celebrations of racial heritage and yearning for communal belonging to the comedic and absurd to frank views of sex, community and assault. The stories are real and offer a slice-of-life view into the experiences of artists living in a place that typically only ever garners a passing glance and a reputation for being quaint.

Quaint includes visual art by Salina Almanzar, Emily Bayless, Michael Benevenia, James Hollenbaugh, Victoria Kue, Osmyn Oree, Arthur Oak Padelsky and Paolo Puck. This exhibition was curated by Henry Gepfer

Also on view is a selection of Lancaster-based literature and zines curated by Tyler Barton and Erin Dorney. This selection includes work by Salina Almanzar, Mike Andrelczyk, Erik Anderson, Tyler Barton, Jamie Beth Cohen, Meg Day, John Salvino and Annajane Dauphine, Erin Dorney, Fledgling Rag, Elizabeth Gonzalez, Le Hinton, Meghan Kenny, Travis and JenMarie Macdonald, Libby Modern, Nicholas Montemarano, Jeff Rath, Daina Savage, Lina Seijo, Halley Weaver, Jennifer Hill and Dan Waber, and Jacob Ross Yohn.



",
