Join Order,Member Name,URL,Website,Full Page Text,,Description
50,Angela Heaps,https://little-berlin.squarespace.com/angela-heaps,,"ANGELA HEAPS




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1522169156403-W6PK3T108PZHNFLA9RA5/strawberry+buds.jpg"" alt=""strawberry buds.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1593977134471-NTVKNDY8V0URO7DOKBF6/drool+plane+1hhh.jpg"" alt=""drool plane 1hhh.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1593977165773-JB7CTE5QKP8B956CKEV8/drool+plane+1.jpg"" alt=""drool plane 1.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1593977185317-NRFVY6UCWLUIZJ3B7MAL/bite+me+detail+1.jpg"" alt=""bite me detail 1.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1593977233480-HKKKINEWGHXL0Q5RLQCP/dear+diary.jpg"" alt=""dear diary.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-043db812eb1b49b9809f .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-043db812eb1b49b9809f .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




Angela Heaps is an artist currently residing in Philadelphia. They work primarily with prints on paper and sculptures made out of paper pulp to personify verbal and non-verbal gestures. Their work is influenced by everyday objects, obsessions and bad humor. They often finds Themselves indulging in impulses and tends to remember shitty times fondly.  Angela received their BFA from Maryland Institute College of Art in 2015.  ",ANGELA HEAPS,"Angela Heaps is an artist currently residing in Philadelphia. They work primarily with prints on paper and sculptures made out of paper pulp to personify verbal and non-verbal gestures. Their work is influenced by everyday objects, obsessions and bad humor. 

They often finds Themselves indulging in impulses and tends to remember shitty times fondly. 

 

Angela received their BFA from Maryland Institute College of Art in 2015. 

 "
49,Grace Berman,https://little-berlin.squarespace.com/grace-berman,," GRACE BERMAN

Grace Berman is an artist living and working in Philadelphia. She currently uses a variety of ceramic techniques to create functional work. She is inspired by wandering through the city with her eyes partially glued to her phone and repetitive domestic anxieties. In decorative motifs she  strives to nail down representations of a vague memory soup.




Grace received her BFA in Craft and Material Studies from Virginia Commonwealth University in 2017", GRACE BERMAN,
48,Christopher Richards,https://little-berlin.squarespace.com/christopher-richards,," CHRISTOPHER RICHARDSChristopher Richards is an artist based in Philadelphia, PA. His range of adoptive methods includes painting, producing sculptures, printing photographs, dancing, making noises, and growing mushrooms. His work is a practice of repetitions and reversals, it’s all about analogy, mysticism, and chiasmus. When you take time to appreciate an artwork, it takes the same time and appreciates you. www.christopherrichardsart.com 




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1594837776302-XZ16XCY0S4201163TSGC/3.jpg"" alt=""3.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1594837776294-I080UIWIRHKRC76WL3WV/loooool.jpg"" alt=""loooool.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1594837774750-328K4WT5RA0VUG71NU4C/polo028work.jpg"" alt=""polo028work.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1594837775036-HTQWL9RAXLE24ZVB7W8P/RichardsChristopher_.jpg"" alt=""RichardsChristopher_.jpg"" />
                
                
              
            
          

          
        

      
    
  

  







#block-yui_3_17_2_1_1594837327201_27120 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -11px; }
#block-yui_3_17_2_1_1594837327201_27120 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 11px; margin-bottom: 11px; }




",,
47,Amanda Schneider,https://little-berlin.squarespace.com/amanda-schneider,,"Amanda Schneider




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550018969517-QPHILYJXHHLUUU8I4OYI/Schneider-Amanda-black+and+white+bowl-002.jpg"" alt=""                                 "" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550018969734-8MICWEH1CH87J5YQ1BIX/Schneider-Amanda-lekythos-002.jpg"" alt=""                                 "" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550018971664-FP74FTV8KFMSQFDLUWV9/Schneider-Amanda-Nymphs-001.jpg"" alt=""Schneider-Amanda-Nymphs-001.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550018972163-HBARS412VX8OQGJ2VIVU/Schneider-Amanda-small+red+column+box2-001.jpg"" alt=""                                 "" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550018974266-3AOHB6VZG2K7X3U3PZ9H/Schneider-Amanda-small+white+column+box2-003.jpg"" alt=""                                 "" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550018974576-33L812696DQG1VVHX019/Schneider-Amanda-still+life-001.jpg"" alt=""                                 "" />
                
                
              
            
          

          
        

      
    
  

  







#block-yui_3_17_2_1_1550018835247_3866 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-yui_3_17_2_1_1550018835247_3866 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




Amanda Schneider is an artist based in Philadelphia working primarily with ceramics. Her work is concerned with the study and reinterpretation of ceramic history and with thinking about objects as companions. Most of her work is influenced by Greek Attic pottery painting and to some degree, camp aesthetics. Amanda studied at the University of Kansas where she received her B.F.A. in Ceramics in 2014.  ",,"Amanda Schneider is an artist based in Philadelphia working primarily with ceramics. Her work is concerned with the study and reinterpretation of ceramic history and with thinking about objects as companions. Most of her work is influenced by Greek Attic pottery painting and to some degree, camp aesthetics. Amanda studied at the University of Kansas where she received her B.F.A. in Ceramics in 2014.  "
46,Henry Gepfer,https://little-berlin.squarespace.com/henry-gepfer,,HENRY GEPFER,HENRY GEPFER,
45,Sarah Trad,http://little-berlin.squarespace.com/sarah-trad,,"SARAH TRAD




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1521911073467-INJZ0FL4S5OFYYN1GZFP/Work1.jpg"" alt=""Work1.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1521911077494-53J583VM3CG5A6M0M461/Work2.png"" alt=""Work2.png"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1521911075415-F0I77AU7TZTHLYISB1SZ/Work3.png"" alt=""Work3.png"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1521911077596-71LRQPZIR2M9CBJVVXX6/Work4.png"" alt=""Work4.png"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1521911078954-X44R08HROKFN8CNZX5SJ/Work5.png"" alt=""Work5.png"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1521911094014-GJ8PA27YDRZWYAN4ENJ9/Work6.jpg"" alt=""In sickness and in health (but mostly, just in sickness)"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-cdc7997bf07bff4c2f0d .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-cdc7997bf07bff4c2f0d .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




Sarah is a video artist whose work explores the relationship between subjective and objective emotionality, navigating daily life and relationships while faced with mental illness, and breaking down stereotypes of gender and narrative. The living embodiment of the correlation between chronic depression and binge watching practices, her work consists of appropriating and manipulating found footage from movies, music videos and television. She also likes to use text, performance and elements of karaoke (which she is obsessed with but has never actually performed IRL) to create recognizable narrative structures that can be viewed in and outside the academy of art. Sarah studied at the Film and Television School of Performing Arts (FAMU) in Prague and received her BFA from Syracuse University.  ",SARAH TRAD,"Sarah is a video artist whose work explores the relationship between subjective and objective emotionality, navigating daily life and relationships while faced with mental illness, and breaking down stereotypes of gender and narrative. The living embodiment of the correlation between chronic depression and binge watching practices, her work consists of appropriating and manipulating found footage from movies, music videos and television. She also likes to use text, performance and elements of karaoke (which she is obsessed with but has never actually performed IRL) to create recognizable narrative structures that can be viewed in and outside the academy of art.

 

Sarah studied at the Film and Television School of Performing Arts (FAMU) in Prague and received her BFA from Syracuse University.

 

 


"
44,Cayla Lockwood,http://little-berlin.squarespace.com/cayla,,"CAYLA LOCKWOOD




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491579413032-DVZZ9PLYA41Q78OK41BO/image1.jpg"" alt=""image1.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491579408760-RJGJDH8IT6Z88028TNZL/image2.jpg"" alt=""image2.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491579412435-6BS92Z0OJN4N94GSRS1L/image3.jpg"" alt=""image3.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-de51258e33ffe0671d76 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-de51258e33ffe0671d76 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




caylalockwood.comCayla Lockwood makes things with words. She is interested in small gestures, complicated feelings, and saying a lot with a little. She works in a variety of media from broken glass to gel pens and in formats including drawing, collage and installation. Her favorite emotion is ‘funny but sad'. Cayla comes from a small town in the thumb of Michigan, has an MFA from Syracuse University, and was Artist-in-Residence at Artspace New Haven. She is currently an artist-in-residence at Flux Factory in Queens, NY. Past Exhibitions:October 2017: Baker's DozenMay 2018: (Re)mnantsJuly 2018: Sincerely Yours",CAYLA LOCKWOOD,"caylalockwood.com

Cayla Lockwood makes things with words. She is interested in small gestures, complicated feelings, and saying a lot with a little. She works in a variety of media from broken glass to gel pens and in formats including drawing, collage and installation. Her favorite emotion is ‘funny but sad'. Cayla comes from a small town in the thumb of Michigan, has an MFA from Syracuse University, and was Artist-in-Residence at Artspace New Haven. She is currently an artist-in-residence at Flux Factory in Queens, NY. 

Past Exhibitions:

October 2017: Baker's Dozen
May 2018: (Re)mnants
July 2018: Sincerely Yours


"
43,Siyuan Liu,http://little-berlin.squarespace.com/siyuan,"siyuanliuart.com

","




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550021464242-HYK61EPPMKY5P18WLM69/Siyuan01.jpg"" alt=""00279850.JPG"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550021460456-GHV8S6MQI9BY2MLQRMGZ/Siyuan04.jpg"" alt=""Siyuan04.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550021464710-DSBWBAKCKO9DFX2S0BH6/Siyuan07.jpg"" alt=""Siyuan07.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1550021471835-6QAE69F87LSESRLPNBVL/Siyuan09.jpg"" alt=""Siyuan09.jpg"" />
                
                
              
            
          

          
        

      
    
  

  







#block-yui_3_17_2_1_1550021364195_4085 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -20px; }
#block-yui_3_17_2_1_1550021364195_4085 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 20px; margin-bottom: 20px; }




SIYUAN LIUsiyuanliuart.comThis body of work references political propaganda posters. The portrait of the Chinese leader Mao Zedong is a deep collective memory of every single Chinese citizen. We’ve have been taught to be a patriot since our birth. Just like the rock song said we are the balls/eggs under the red flag. Currently, in China and especially in some undeveloped areas, the figure of Mao has still consecrated a god-- a savior of people. Chinese left-wing politicians and scholars still promote propaganda if his ideologies in print images both in poster form and on the internet. In contrast, in the capitalist world, Mao is considered as an evil dictator and tyrant. In my opinion, we should provide an objective definition of this figure instead of the extremely biased read from history. I have chosen his portrait because it is symbolic, powerful, controversial, and it contains complex meanings.The draperies and cloths have three meanings for me. First, it is an important memory of my childhood. When I started to draw and sketch at the age of six, the lights and shades of the drapery were difficult to render because fabric folds are soft, changing, and the shading complicated. I admired the western masters since they could paint the draperies and cloths realistically. Depicting fabric is important to me because the material holds the cultural and historical reference. The invention of fabric is a significant symbol if civilization. Human beings use the cloth to protect themselves from the hostile environment and extreme weather, as well as to cover their private body parts which means the social structure tended to stable because of the sense of proprietorship of sex. Lastly, the father of Chinese rock and roll Cui Jian wrote a famous song “ A Piece of Red Cloth” in 1988. This song describes his struggle in a romantic relationship. However, there are many political metaphors underneath such as the first lyrics that day you used a piece of red cloth to cover my eyes and the sky. The red cloth can be considered as the color of the communist party and the Chinese flag. This song connected romantic love and political realities together to create an unusual and ambiguous atmosphere. Furthermore, the fear of the authority, as well as the implicit expression of feelings, the metaphor is the most important part in Chinese literature in history.In the series titled Protection, I cut draperies and cloth pieces from my collection of western master painting books to cover Mao’s portrait with multiple compositions. Then, I utilized Photoshop to adjust the color tone. The final step is to print multiple large posters like images using a high-quality fine art printer. In the series of work, I redefine the meaning of the process of collage as a method instead of a result because the printed posters contain the meaning of mechanical reproductions and delivering the message which is the political propaganda in modern history. The ambiguity is also an important aspect of my work. The defacing of Mao could be considered an insult or a criticism. On closer inspection, the viewer will see that the thick paint across the image is actually drapery and cloth, and the meaning of protection emerges. Lastly, another layer of ambiguity is that am I preventing the viewer from seeing Mao’s face, and simultaneously, blocking Mao’s gaze at us? ",,"This body of work references political propaganda posters. The portrait of the Chinese leader Mao Zedong is a deep collective memory of every single Chinese citizen. We’ve have been taught to be a patriot since our birth. Just like the rock song said we are the balls/eggs under the red flag. Currently, in China and especially in some undeveloped areas, the figure of Mao has still consecrated a god-- a savior of people. Chinese left-wing politicians and scholars still promote propaganda if his ideologies in print images both in poster form and on the internet. In contrast, in the capitalist world, Mao is considered as an evil dictator and tyrant. In my opinion, we should provide an objective definition of this figure instead of the extremely biased read from history. I have chosen his portrait because it is symbolic, powerful, controversial, and it contains complex meanings.

The draperies and cloths have three meanings for me. First, it is an important memory of my childhood. When I started to draw and sketch at the age of six, the lights and shades of the drapery were difficult to render because fabric folds are soft, changing, and the shading complicated. I admired the western masters since they could paint the draperies and cloths realistically. Depicting fabric is important to me because the material holds the cultural and historical reference. The invention of fabric is a significant symbol if civilization. Human beings use the cloth to protect themselves from the hostile environment and extreme weather, as well as to cover their private body parts which means the social structure tended to stable because of the sense of proprietorship of sex. Lastly, the father of Chinese rock and roll Cui Jian wrote a famous song “ A Piece of Red Cloth” in 1988. This song describes his struggle in a romantic relationship. However, there are many political metaphors underneath such as the first lyrics that day you used a piece of red cloth to cover my eyes and the sky. The red cloth can be considered as the color of the communist party and the Chinese flag. This song connected romantic love and political realities together to create an unusual and ambiguous atmosphere. Furthermore, the fear of the authority, as well as the implicit expression of feelings, the metaphor is the most important part in Chinese literature in history.

In the series titled Protection, I cut draperies and cloth pieces from my collection of western master painting books to cover Mao’s portrait with multiple compositions. Then, I utilized Photoshop to adjust the color tone. The final step is to print multiple large posters like images using a high-quality fine art printer. In the series of work, I redefine the meaning of the process of collage as a method instead of a result because the printed posters contain the meaning of mechanical reproductions and delivering the message which is the political propaganda in modern history. The ambiguity is also an important aspect of my work. The defacing of Mao could be considered an insult or a criticism. On closer inspection, the viewer will see that the thick paint across the image is actually drapery and cloth, and the meaning of protection emerges. Lastly, another layer of ambiguity is that am I preventing the viewer from seeing Mao’s face, and simultaneously, blocking Mao’s gaze at us?"
42,J. Alex Schechter,http://little-berlin.squarespace.com/jalexschechter,www.alexschechter.com,"J. Alex Schechter




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491412183154-V83GQDTL52UWHGFSJAXL/Am+I+the+Baddest.jpg"" alt=""Am I the Baddest.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491412189185-GFNTBOZ8UHU61EYYOYGL/AS+Am+I+the+Prettiest.jpg"" alt=""AS Am I the Prettiest.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491412199908-NI8UNQRC743WTZZE4SWG/Installation+View.jpg"" alt=""Installation View.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491412184079-K50BDDYVGBY3OPYGP16Q/AS+Reliquary+2.jpg"" alt=""AS Reliquary 2.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491412196017-JMLNKHVY41SO99OJ9SK1/AS+Secedre+1.jpg"" alt=""AS Secedre 1.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1491412189922-TW8V3H0FZYT3HPG2DGNJ/AS+Structure+for+Just+One+Thing.jpg"" alt=""AS Structure for Just One Thing.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-98fed20273a6c3f94598 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-98fed20273a6c3f94598 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




www.alexschechter.com J. Alex Schechter (b. Moose, WY 1988) is a sculptor, curator and writer based in Philadelphia, PA. His work focuses on the divisions and arbitrary borders between the natural and built world. Much of his work focuses on systems of knowledge and the explorations of geometric and non-linear growth. He received his BA from Grinnell College in 2010 and his MFA from MICA in 2016.",J. ALEX SCHECHTER,"J. Alex Schechter (b. Moose, WY 1988) is a sculptor, curator and writer based in Philadelphia, PA. His work focuses on the divisions and arbitrary borders between the natural and built world. Much of his work focuses on systems of knowledge and the explorations of geometric and non-linear growth. He received his BA from Grinnell College in 2010 and his MFA from MICA in 2016.
"
41,Kayte Terry,https://little-berlin.squarespace.com/kayte,http://www.kayteterry.com/,"KAYTE TERRY




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1509301259584-10WKZQ0GN0P0JWRT5A8I/01Terry.jpg"" alt=""01Terry.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1509301254687-GL6E0QM5ILEJ6NHOLLXH/boob9_web.jpg"" alt=""boob9_web.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1509301266020-N5ADFFC4DQ3VCFCA1IOS/PearlSocks0218.jpg"" alt=""PearlSocks0218.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1509301289229-TY9WD76QWRJXTP4EON3F/pigoons-9+copy.jpg"" alt=""pigoons-9 copy.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-56fe873071f88211d51f .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-56fe873071f88211d51f .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




http://www.kayteterry.com/Kayte Terry’s work examines the literal and figurative boundaries of the body. Through photography, video, collage, installation and object-making, Kayte unravel issues of illness, memory, dysmorphia, longing and loss. The patchwork of materials she uses form a personal language that speaks to the fuzzy intersection of personal desires and cultural expectations.Kayte studied Art History and Women’s Studies at Simon’s Rock College of Bard and is an MFA Candidate for Studio Art at University of the Arts. She has also studied abroad with the School for International Training in Fortaleza, Brazil and at the Santa Reparata International School of Art in Florence, Italy. Kayte has been in group shows in New York, NY; Philadelphia, PA and Seattle, WA and is looking forward to participating in the showAdorned: Beauty in Excess at Joy Pratt Markham Gallery at the Walton Arts Center in Fayetteville, AK this Spring.",KAYTE TERRY,"Kayte Terry’s work examines the literal and figurative boundaries of the body. Through photography, video, collage, installation and object-making, Kayte unravel issues of illness, memory, dysmorphia, longing and loss. The patchwork of materials she uses form a personal language that speaks to the fuzzy intersection of personal desires and cultural expectations.

Kayte studied Art History and Women’s Studies at Simon’s Rock College of Bard and is an MFA Candidate for Studio Art at University of the Arts. She has also studied abroad with the School for International Training in Fortaleza, Brazil and at the Santa Reparata International School of Art in Florence, Italy. Kayte has been in group shows in New York, NY; Philadelphia, PA and Seattle, WA and is looking forward to participating in the showAdorned: Beauty in Excess at Joy Pratt Markham Gallery at the Walton Arts Center in Fayetteville, AK this Spring."
