year,date,title,author,pub,link
2019,9/25/2019,"Women in Power and Politics, surprising work, impressive curating at Little Berlin",Logan Cryer,theartblog,https://www.theartblog.org/2019/09/19-5-women-in-power-and-politics-surprising-work-impressive-curating-at-little-berlin/
2019,4/17/2019,"Not so ‘Quaint’, an exhibition of Lancaster artists at Little Berlin",Julia Marsh,theartblog,https://www.theartblog.org/2019/04/not-so-quaint-an-exhibition-of-lancaster-artists-at-little-berlin/
2019,6/18/2019,"Little Berlin’s ‘Make Room for Me,’ a thoughtful, slow-paced look at art by Middle Eastern queer and femme artists",Natalie Sandstrom,theartblog,https://www.theartblog.org/2019/06/little-berlins-make-room-for-me-a-thoughtful-slow-paced-look-at-art-by-middle-eastern-queer-and-femme-artists/
2018,6/15/2018,Cuerpos Disidentes,Yeni Toro Garzon,Facebook,https://www.facebook.com/yeni.toro/videos/10155861396128264/
2017,7/27/2017,FORM AND FUNCTION AT ARTSCAPE’S ARTIST-RUN ART FAIR,THEA HARVEY-BROWN,BmoreArt,http://www.bmoreart.com/2017/07/form-and-function-at-artscapes-artist-run-art-fair.html
2017,6/28/2017,"Works On Empowerment, Objectification in ""I Grit My Teeth Before It Began""",Laura Volkening,theartblog,https://www.theartblog.org/2017/06/works-on-empowerment-objectification-in-i-grit-my-teeth-before-it-began-at-little-berlin/
2017,7/26/2017,Surreal Philly: New novel from Sebastian Castillo borders on the strangely delightful,Sarah Rose Etter,Philadelphia Weekly,http://www.philadelphiaweekly.com/arts/surreal-philly-new-novel-from-sebastian-castillo-borders-on-the/article_44fb834e-7233-11e7-adc5-eb4116218bb4.html
2017,4/22/2017,Kensington: Artists’ Space Aims To Provide Unique And Challenging Programming To Community,Cameron Alexander and Kyle Morgan,Phildelphia Neighborhoods,http://philadelphianeighborhoods.com/2017/04/22/kensington-artists-space-aims-to-provide-unique-and-challenging-programming-to-community/
2017,3/3/2017,Where The Cool Kids Look At Art: 10 Galleries Your Should Know About,Amanda V. Wagner,Curate This,http://curatethisphilly.com/2017/03/03/where-the-cool-kids-look-at-art-10-galleries-you-should-know-about/
2016,7/6/2016,A whistlestop tour of Philadelphia's contemporary art spaces,Hyunjee Nicole Kim,Apollo-magizine.com,http://www.apollo-magazine.com/a-whistlestop-tour-of-philadelphias-contemporary-art-spaces/
